"Brand","Decoding Method"
"Admiral (post-2006)","Char 2 (9-digit) or Char 3 (10-digit)"
"Admiral (pre-2006)","Second-to-last character of serial"
"Amana (post-2006)","Char 2 (9-digit) or Char 3 (10-digit)"
"Amana (pre-2006)","Second-to-last character of serial"
"Bosch","FD digits 1-2 (first two numbers after FD)"
"Crosley","Char 2 (9-digit) or Char 3 (10-digit)"
"Electrolux","Character 3 (first digit after 2-letter factory code)"
"Estate","Char 2 (9-digit) or Char 3 (10-digit)"
"Frigidaire","Character 3 (first digit after 2-letter factory code)"
"Gaggenau","FD digits 1-2 (first two numbers after FD)"
"GE","Character 2 (second letter)"
"GE Cafe","Character 2 (second letter)"
"GE Monogram","Character 2 (second letter)"
"GE Profile","Character 2 (second letter)"
"Gibson","Character 3 (first digit after 2-letter factory code)"
"Hotpoint","Character 2 (second letter)"
"Inglis","Char 2 (9-digit) or Char 3 (10-digit)"
"Jenn-Air (post-2006)","Char 2 (9-digit) or Char 3 (10-digit)"
"Jenn-Air (pre-2006)","Second-to-last character of serial"
"Kelvinator","Character 3 (first digit after 2-letter factory code)"
"Kenmore","See Group 1A for Whirlpool"
"KitchenAid","Char 3 (year code) + Char 4 (week)"
"LG","Character 1"
"Maytag (post-2006)","Char 2 (9-digit) or Char 3 (10-digit)"
"Maytag (pre-2006)","Second-to-last character of serial"
"RCA","Character 2 (second letter)"
"Roper","Char 3 (year code) + Char 4 (week)"
"Samsung","Char 8 (year code) + Char 9 (month)"
"Tappan","Character 3 (first digit after 2-letter factory code)"
"Thermador","FD digits 1-2 (first two numbers after FD)"
"Whirlpool","Char 3 (year code) + Char 4 (week)"
"White Consolidated Industries (WCI)","Character 3 (first digit after 2-letter factory code)"
"White-Westinghouse","Character 3 (first digit after 2-letter factory code)"
