"Category","Name","Method"
"appliances","Admiral (post-2006)","Char 2 (9-digit) or Char 3 (10-digit)"
"appliances","Admiral (pre-2006)","Second-to-last character of serial"
"appliances","Amana (post-2006)","Char 2 (9-digit) or Char 3 (10-digit)"
"appliances","Amana (pre-2006)","Second-to-last character of serial"
"appliances","Bosch","FD digits 1-2 (first two numbers after \"
"appliances","Crosley","Char 2 (9-digit) or Char 3 (10-digit)"
"appliances","Electrolux","Character 3 (first digit after 2-letter factory code)"
"appliances","Estate","Char 2 (9-digit) or Char 3 (10-digit)"
"appliances","Frigidaire","Character 3 (first digit after 2-letter factory code)"
"appliances","Gaggenau","FD digits 1-2 (first two numbers after \"
"appliances","GE","Character 2 (second letter)"
"appliances","GE Cafe","Character 2 (second letter)"
"appliances","GE Monogram","Character 2 (second letter)"
"appliances","GE Profile","Character 2 (second letter)"
"appliances","Gibson","Character 3 (first digit after 2-letter factory code)"
"appliances","Hotpoint","Character 2 (second letter)"
"appliances","Inglis","Char 2 (9-digit) or Char 3 (10-digit)"
"appliances","Jenn-Air (post-2006)","Char 2 (9-digit) or Char 3 (10-digit)"
"appliances","Jenn-Air (pre-2006)","Second-to-last character of serial"
"appliances","Kelvinator","Character 3 (first digit after 2-letter factory code)"
"appliances","Kenmore","See Group 1A for Whirlpool"
"appliances","KitchenAid","Char 3 (year code) + Char 4 (week)"
"appliances","LG","Character 1"
"appliances","Maytag (post-2006)","Char 2 (9-digit) or Char 3 (10-digit)"
"appliances","Maytag (pre-2006)","Second-to-last character of serial"
"appliances","RCA","Character 2 (second letter)"
"appliances","Roper","Char 3 (year code) + Char 4 (week)"
"appliances","Samsung","Char 8 (year code) + Char 9 (month)"
"appliances","Tappan","Character 3 (first digit after 2-letter factory code)"
"appliances","Thermador","FD digits 1-2 (first two numbers after \"
"appliances","Whirlpool","Char 3 (year code) + Char 4 (week)"
"appliances","White Consolidated Industries (WCI)","Character 3 (first digit after 2-letter factory code)"
"appliances","White-Westinghouse","Character 3 (first digit after 2-letter factory code)"
"electronics","Apple","12-char serial: char 4 = Year, chars 5-6 = Week. 10-char serial (post-2021): randomized."
"electronics","ASUS","Char 1 = Year (alpha code), char 2 = Month (1-9 = Jan-Sep, A=Oct, B=Nov, C=Dec)."
"electronics","Google Pixel","Char 1 = Year last digit, chars 2-3 = Week number (01-53)."
"electronics","HP","Char 4 = Year last digit, chars 5-6 = Week number (01-52)."
"electronics","LG Electronics","Character 1"
"electronics","Panasonic","Char 1 = Year last digit. Char 2 = Month or factory code (mapping varies by product line)."
"electronics","Samsung (Phones & Tablets)","15-char serial: char 8 = Year. Shorter serials: char 4 = Year. Next char = Month."
"electronics","Samsung Electronics","Char 8 (15-digit serial) or Char 4 (11-digit serial)"
"electronics","Sony","Last letter of MODEL number encodes year: H=2020, J=2021, K=2022, L=2023, M=2024, N=2025."
"electronics","Vizio","Chars 4-5 = Year/Week code. Decoded using YYWW and WWYY heuristics; verify with model info."
"hvac","Amana","Digits 1-2 (year), digits 3-4 (month). Source: Manufacturer Technical Specifications."
"hvac","American Standard","Digits 3-4 (year). Source: Manufacturer Technical Specifications."
"hvac","Bryant","Digits 1-2 (week), digits 3-4 (year). Source: Manufacturer Technical Specifications."
"hvac","Carrier","Digits 3-4 (year). Source: Manufacturer Technical Specifications."
"hvac","Goodman","Digits 1-2 (year), digits 3-4 (month). Source: Manufacturer Technical Specifications."
"hvac","Lennox","Digits 1-2 (week), digits 3-4 (year). Source: Manufacturer Technical Specifications."
"hvac","Payne","Digits 1-2 (week), digits 3-4 (year). Source: Manufacturer Technical Specifications."
"hvac","Rheem","4 digits following a letter (week + year). Source: Manufacturer Technical Specifications."
"hvac","Ruud","4 digits following a letter (week + year). Source: Manufacturer Technical Specifications."
"hvac","Trane","Digits 3-4 (year). Source: Manufacturer Technical Specifications."
"hvac","York","Digits 1-2 (week), digits 3-4 (year). Source: Manufacturer Technical Specifications."
"waterHeaters","A.O. Smith","Characters 3-4 (pre-2008 era)"
"waterHeaters","American Water Heater Company","Characters 3-4 (pre-2008 era)"
"waterHeaters","Aqua Therm","Characters 3-4 (Style 1)"
"waterHeaters","Bradford White","Character 1"
"waterHeaters","Cimarron","Characters 3-4 (Style 1)"
"waterHeaters","Energy Master","Characters 3-4 (Style 1)"
"waterHeaters","GE Water Heaters","Characters 3-4 (Style 1)"
"waterHeaters","GSW","Characters 3-4 (pre-2008 era)"
"waterHeaters","Intertherm/Miller","Characters 3-4 (Style 1)"
"waterHeaters","Montgomery Ward","Characters 3-4 (Style 1)"
"waterHeaters","Reliance Water Heaters","Characters 3-4 (pre-2008 era)"
"waterHeaters","Rheem","Characters 3-4 (Style 1)"
"waterHeaters","Richmond","Characters 3-4 (Style 1)"
"waterHeaters","Ruud","Characters 3-4 (Style 1)"
"waterHeaters","State Industries","Characters 3-4 (pre-2008 era)"
"waterHeaters","U.S. Craftmaster","Characters 3-4 (pre-2008 era)"
"waterHeaters","Vanguard","Characters 3-4 (Style 1)"
"waterHeaters","Whirlpool Water Heaters","Characters 3-4 (pre-2008 era)"
